order_item_id,order_id,product_id,quantity,price_sold
1,1,472,1,431.8
2,2,1182,1,170.21
3,2,1154,1,358.56
4,3,1607,2,713.02
5,4,1753,1,848.92
6,4,502,1,403.6
7,4,1301,1,722.6
8,5,861,1,605.41
9,6,388,2,305.78
10,6,1059,1,548.55
11,7,333,1,1289.43
12,8,1725,1,1433.98
13,8,1751,2,255.9
14,9,2057,1,342.67
15,9,1535,3,234.48
16,10,1078,1,247.28
17,10,234,1,339.39
18,10,832,3,212.16
19,11,1250,2,284.58
20,12,2469,2,121.12
21,12,2255,1,261.55
22,12,1304,2,285.09
23,13,83,2,724.98
24,14,394,1,457.78
25,15,888,1,597.03
26,15,236,1,297.19
27,15,1109,1,328.8
28,16,798,1,722.54
29,17,1718,1,516.02
30,18,2135,1,210.91
31,19,163,1,390.78
32,19,2488,1,339.2
33,20,982,1,535.18
34,20,1915,1,315.51
35,20,241,2,379.98
36,21,1776,1,358.64
37,21,805,1,220.08
38,21,1904,2,400.26
39,22,1776,1,412.19
40,22,1220,1,297.48
41,23,541,2,226.59
42,24,2372,1,262.08
43,25,1007,1,433.72
44,26,2495,1,369.11
45,27,2032,1,682.16
46,28,1475,3,737.56
47,29,757,1,610.21
48,30,748,1,372.33
49,30,903,1,422.53
50,30,2083,2,562.12
51,31,755,1,507.61
52,32,1208,1,269.54
53,33,1315,1,267.43
54,33,726,2,334.47
55,34,55,2,355.0
56,35,2241,1,336.34
57,35,77,1,200.71
58,35,2371,3,382.66
59,36,576,1,329.11
60,36,290,1,728.21
61,37,2361,1,374.21
62,38,1738,1,541.25
63,39,2492,1,218.14
64,40,1628,1,497.9
65,41,1647,1,299.65
66,41,662,1,354.59
67,42,2498,3,442.0
68,43,1123,1,284.57
69,44,1600,1,635.95
70,45,1293,2,1017.76
71,45,658,1,320.55
72,46,1665,1,547.73
73,47,1430,1,315.84
74,48,341,1,257.3
75,48,534,1,115.77
76,49,2415,1,412.14
77,50,2090,1,134.06
78,51,2366,1,315.89
79,51,2106,1,425.62
80,52,1979,1,380.94
81,52,1399,1,232.41
82,52,438,2,751.02
83,53,805,1,220.08
