product_id,supplier_id,product_name,category,subcategory,cost_price,mrp,commission_percent
1,116,Womens Ethnic 1,Fashion,Womens Ethnic,1074.65,2523.47,13.6
2,120,Kids Wear 2,Fashion,Kids Wear,246.17,610.35,19.65
3,53,Womens Ethnic 3,Fashion,Womens Ethnic,336.61,532.88,15.99
4,59,Kids Wear 4,Fashion,Kids Wear,1302.67,2370.87,11.5
5,35,Kurtis 5,Fashion,Kurtis,1588.28,3063.02,11.81
6,91,Mens Casual 6,Fashion,Mens Casual,1343.93,1977.17,17.45
7,135,T-Shirts 7,Fashion,T-Shirts,1278.73,2606.74,16.15
8,129,Sarees 8,Fashion,Sarees,1436.85,2633.62,14.98
9,49,Sarees 9,Fashion,Sarees,1728.29,3704.21,9.87
10,5,T-Shirts 10,Fashion,T-Shirts,690.28,1357.86,8.94
11,63,Kids Wear 11,Fashion,Kids Wear,170.42,405.38,16.36
12,136,Sarees 12,Fashion,Sarees,1238.84,2024.93,11.55
13,35,Sarees 13,Fashion,Sarees,600.79,1047.3,18.19
14,101,Mens Casual 14,Fashion,Mens Casual,1103.7,1853.14,20.33
15,20,Kids Wear 15,Fashion,Kids Wear,339.86,573.58,15.96
16,43,Kurtis 16,Fashion,Kurtis,819.4,1593.54,20.2
17,58,Mens Casual 17,Fashion,Mens Casual,915.18,1647.5,20.95
18,41,Kids Wear 18,Fashion,Kids Wear,1623.52,4102.46,7.02
19,70,Womens Ethnic 19,Fashion,Womens Ethnic,810.5,1323.8,20.03
20,24,Womens Ethnic 20,Fashion,Womens Ethnic,559.83,1373.28,12.74
21,88,T-Shirts 21,Fashion,T-Shirts,449.69,1105.65,9.19
22,136,Sarees 22,Fashion,Sarees,475.79,763.92,16.02
23,118,Mens Casual 23,Fashion,Mens Casual,1609.98,2630.63,6.58
24,31,Kids Wear 24,Fashion,Kids Wear,567.46,1041.68,19.32
25,75,T-Shirts 25,Fashion,T-Shirts,1704.74,2802.7,22.81
26,68,Womens Ethnic 26,Fashion,Womens Ethnic,250.19,490.53,22.01
27,123,Kids Wear 27,Fashion,Kids Wear,612.29,1274.27,17.55
28,142,Mens Casual 28,Fashion,Mens Casual,1405.72,2104.73,15.57
29,77,Kids Wear 29,Fashion,Kids Wear,421.78,907.06,12.81
30,42,Kurtis 30,Fashion,Kurtis,304.23,559.94,17.23
31,126,Womens Ethnic 31,Fashion,Womens Ethnic,1764.22,3333.4,17.55
32,74,Mens Casual 32,Fashion,Mens Casual,1635.49,3586.23,9.2
33,45,Kurtis 33,Fashion,Kurtis,1595.78,4131.21,10.56
34,136,T-Shirts 34,Fashion,T-Shirts,463.22,767.69,21.88
35,31,Kids Wear 35,Fashion,Kids Wear,1404.65,2927.15,12.48
36,31,Womens Ethnic 36,Fashion,Womens Ethnic,222.74,396.32,10.7
37,72,T-Shirts 37,Fashion,T-Shirts,246.49,501.57,14.64
38,61,Kurtis 38,Fashion,Kurtis,418.07,930.14,6.88
39,67,Sarees 39,Fashion,Sarees,1485.45,3073.76,11.84
40,129,Mens Casual 40,Fashion,Mens Casual,1796.04,2569.87,7.65
41,62,Kids Wear 41,Fashion,Kids Wear,799.56,1407.09,19.37
42,99,Kurtis 42,Fashion,Kurtis,1195.12,2857.62,22.92
43,19,Kids Wear 43,Fashion,Kids Wear,465.39,678.04,22.58
44,100,T-Shirts 44,Fashion,T-Shirts,818.48,1564.06,8.06
45,106,Womens Ethnic 45,Fashion,Womens Ethnic,754.4,1839.15,10.36
46,38,Sarees 46,Fashion,Sarees,1654.07,3520.79,20.38
47,10,Womens Ethnic 47,Fashion,Womens Ethnic,991.71,1972.81,12.94
48,69,Womens Ethnic 48,Fashion,Womens Ethnic,833.56,2016.72,13.88
49,43,Kids Wear 49,Fashion,Kids Wear,1096.6,1669.96,11.73
50,107,Mens Casual 50,Fashion,Mens Casual,1341.61,2185.77,6.79
